labels,GC_content,PercentGap,PercentMissing,LB_scores,RCFV,group
Agaon_JRAS00350_0189,0.456,34.80,17.06,-11.8547531975201,0.0003,Clade1
Agaon_JRAS00399_0189,0.442,24.91,25.82,-9.11276604033696,0.0002,Clade1
Agaon_JRAS01537_0189,0.439,36.80,10.22,-13.1934466174603,0.0001,Clade1
Agaon_JRAS01925_0189,0.409,9.31,42.14,-11.8710654135986,0.0002,Clade1
Agaon_JRAS01938_0189,0.411,4.78,37.56,-10.8799897868472,0.0001,Clade1
Agaon_JRAS06708_0589,0.429,6.54,11.42,-13.8134649673091,0.0000,Clade1
Agaon_JRAS06708_0789,0.416,6.15,32.46,-14.0034328099913,0.0001,Clade1
Alfonsiella_JRAS01935_0189,0.423,14.32,23.49,-11.024214422121,0.0000,Clade1
Alfonsiella_JRAS03495_0289,0.445,32.94,39.29,-10.4364392694737,0.0002,Clade1
Alfonsiella_JRAS08437_0189,0.431,14.63,14.77,-10.3299917024421,0.0000,Clade1
Alfonsiella_JRAS08438_0189,0.437,21.67,13.33,-16.9223037507119,0.0001,Clade1
Algidagaon_JRAS01676_0196,0.43,30.09,9.32,-22.5039905359271,0.0000,Clade2
Algidagaon_JRAS01758_0189,0.429,38.66,34.63,-16.7817977726778,0.0001,Clade2
Algidagaon_JRAS01836_0189,0.404,28.88,26.12,-17.3912573310318,0.0002,Clade2
Algidagaon_JRAS02444_0195,0.426,5.17,13.12,-18.1201189722253,0.0000,Clade2
Algidagaon_JRAS08176_0189,0.421,4.96,6.26,-24.101619580814,0.0000,Clade2
Allotriozoon_JRAS00988_0189,0.439,27.75,46.39,19.2726677858731,0.0001,Clade1
Allotriozoon_JRAS02250_0189,0.427,9.45,16.46,15.2275683689524,0.0000,Clade1
Blastophaga_JRAS00868_0189,0.424,37.68,15.41,-16.6117679434402,0.0000,Clade2
Blastophaga_JRAS01229_0189,0.425,6.78,14.14,-19.3381354708668,0.0000,Clade2
Blastophaga_JRAS01236_0189,0.432,6.08,6.42,-19.0252621372353,0.0001,Clade2
Blastophaga_JRAS01238_0189,0.414,4.81,22.49,-13.4389433043145,0.0001,Clade2
Blastophaga_JRAS01634_0101,0.434,30.36,17.02,-6.27767229801572,0.0001,Clade2
Blastophaga_JRAS02335_0189,0.412,5.81,22.64,-6.35357168891529,0.0001,Clade2
Blastophaga_JRAS02352_0195,0.414,6.08,25.83,-6.89782937528336,0.0001,Clade2
Blastophaga_JRAS02368_0189,0.407,10.55,23.49,-1.88572186443323,0.0002,Clade2
Blastophaga_JRAS02767_0189,0.424,27.01,12.02,-17.3033904249822,0.0000,Clade2
Blastophaga_JRAS03573_0199,0.433,19.34,9.40,-10.6257593048968,0.0001,Clade2
Blastophaga_JRAS05479_0189,0.405,5.95,23.86,-9.00523759037212,0.0002,Clade2
Ceratosolen_GENO00012_0101,0.428,5.88,16.44,2.02777122347813,0.0000,Clade3
Ceratosolen_JRAS01570_1101,0.436,15.16,19.47,26.8319523095666,0.0001,Clade3
Ceratosolen_JRAS01610_0289,0.434,18.77,12.63,1.57850693148234,0.0001,Clade3
Ceratosolen_JRAS02194_0101,0.445,13.88,12.09,3.65802082475255,0.0002,Clade3
